Element  Analyticvalue  Numericvalue   Abs.err        Rel.err
185      -5.196160e+00  -5.535874e+00  3.397141e-01   6.54e-02  
186      -4.490851e+00  -4.819282e+00  3.284313e-01   7.31e-02  
187      -3.660859e+00  -3.965062e+00  3.042029e-01   8.31e-02  
188      -2.767538e+00  -3.042406e+00  2.748675e-01   9.93e-02  
189      -1.884376e+00  -2.119634e+00  2.352581e-01   1.25e-01  
190      -1.087053e+00  -1.286226e+00  1.991731e-01   1.83e-01  
191      -4.410110e-01  -5.960483e-01  1.550372e-01   3.52e-01  
192      1.028166e-02   -1.016654e-01  1.119470e-01   1.09e+01  
193      2.532179e-01   1.810458e-01   7.217206e-02   2.85e-01  
194      3.065740e-01   2.593379e-01   4.723616e-02   1.54e-01  
195      2.197758e-01   1.989667e-01   2.080903e-02   9.47e-02  
196      7.026620e-02   6.629170e-02   3.974499e-03   5.66e-02  
197      -3.603144e-02  -3.475975e-02  1.271685e-03   3.53e-02  
198      4.136227e-02   1.243957e-01   8.303342e-02   2.01e+00  
199      9.103791e-02   1.772762e-01   8.623830e-02   9.47e-01  
200      2.166119e-01   2.444503e-01   2.783848e-02   1.29e-01  
201      -6.676536e-02  -5.185279e-02  1.491257e-02   2.23e-01  
202      -6.920662e-02  -6.967775e-02  4.711373e-04   6.81e-03  
203      -6.960901e-02  -7.707376e-02  7.464755e-03   1.07e-01  
204      -6.886342e-02  -6.850860e-02  3.548172e-04   5.15e-03  
205      -6.212569e-02  -6.421601e-02  2.090322e-03   3.36e-02  
206      -5.065896e-02  -5.209745e-02  1.438490e-03   2.84e-02  
207      -3.617831e-02  -3.434047e-02  1.837832e-03   5.08e-02  
208      -2.072907e-02  -2.217871e-02  1.449638e-03   6.99e-02  
209      -6.646631e-03  -6.480150e-03  1.664808e-04   2.50e-02  
210      3.496854e-03   5.473339e-03   1.976486e-03   5.65e-01  
211      6.942862e-03   6.299388e-03   6.434740e-04   9.27e-02  
212      7.600757e-04   9.695214e-04   2.094457e-04   2.76e-01  
213      -1.820930e-02  -1.941521e-02  1.205911e-03   6.62e-02  
214      -5.347702e-02  -5.284892e-02  6.281065e-04   1.17e-02  
215      -1.090827e-01  -1.082087e-01  8.739699e-04   8.01e-03  
216      -1.897550e-01  -1.902224e-01  4.673716e-04   2.46e-03  
217      -3.009828e-01  -3.005848e-01  3.980094e-04   1.32e-03  
218      -4.489131e-01  -4.513365e-01  2.423450e-03   5.40e-03  
219      -6.399999e-01  -6.376843e-01  2.315662e-03   3.62e-03  
220      -8.803424e-01  -8.790487e-01  1.293713e-03   1.47e-03  
221      -1.174681e+00  -1.174305e+00  3.752992e-04   3.19e-04  
222      -1.525079e+00  -1.524158e+00  9.210038e-04   6.04e-04  
223      -1.929416e+00  -1.926748e+00  2.668256e-03   1.38e-03  
224      -2.379915e+00  -2.374803e+00  5.111785e-03   2.15e-03  
225      -2.862020e+00  -2.860266e+00  1.754186e-03   6.13e-04  
226      -3.353967e+00  -3.355771e+00  1.803823e-03   5.38e-04  
227      -3.827306e+00  -3.828316e+00  1.009436e-03   2.64e-04  
228      -4.248461e+00  -4.245896e+00  2.565660e-03   6.04e-04  
229      -4.581220e+00  -4.578561e+00  2.658963e-03   5.80e-04  
230      -4.789893e+00  -4.788950e+00  9.432132e-04   1.97e-04  
231      -4.842840e+00  -4.842906e+00  6.554296e-05   1.35e-05  
232      -4.716186e+00  -4.715004e+00  1.181596e-03   2.51e-04  
233      -4.397685e+00  -4.398177e+00  4.918304e-04   1.12e-04  
234      -3.890733e+00  -3.890182e+00  5.513231e-04   1.42e-04  
235      -3.218166e+00  -3.216928e+00  1.237883e-03   3.85e-04  
236      -2.424735e+00  -2.425726e+00  9.910522e-04   4.09e-04  
237      -1.576294e+00  -1.578276e+00  1.981948e-03   1.26e-03  
238      -7.537195e-01  -7.549077e-01  1.188116e-03   1.58e-03  
239      -4.099785e-02  -4.043864e-02  5.592096e-04   1.36e-02  
240      4.904462e-01   4.893159e-01   1.130294e-03   2.30e-03  
241      7.967613e-01   7.980507e-01   1.289373e-03   1.62e-03  
242      8.711541e-01   8.751422e-01   3.988111e-03   4.58e-03  
243      7.450625e-01   7.451140e-01   5.147832e-05   6.91e-05  
244      4.820046e-01   4.794024e-01   2.602187e-03   5.40e-03  
245      1.685914e-01   1.707999e-01   2.208506e-03   1.31e-02  
246      -9.141669e-02  -8.930942e-02  2.107268e-03   2.31e-02  
247      -1.754238e-01  -1.667813e-01  8.642481e-03   4.93e-02  
248      6.929039e-02   2.244574e-01   1.551670e-01   2.24e+00  
249      2.389372e-01   3.958180e-01   1.568808e-01   6.57e-01  
250      5.158482e-01   5.363922e-01   2.054405e-02   3.98e-02  
251      -5.293493e-02  -4.126377e-02  1.167116e-02   2.20e-01  
252      -5.514991e-02  -5.484139e-02  3.085169e-04   5.59e-03  
253      -5.527261e-02  -6.351934e-02  8.246724e-03   1.49e-01  
254      -5.411893e-02  -5.843185e-02  4.312923e-03   7.97e-02  
255      -4.712379e-02  -4.772210e-02  5.983081e-04   1.27e-02  
256      -3.581461e-02  -3.392097e-02  1.893644e-03   5.29e-02  
257      -2.217278e-02  -2.131378e-02  8.589986e-04   3.87e-02  
258      -8.446396e-03  -1.051785e-02  2.071455e-03   2.45e-01  
259      3.020673e-03   2.471552e-03   5.491209e-04   1.82e-01  
260      9.945882e-03   7.840299e-03   2.105583e-03   2.12e-01  
261      1.022176e-02   7.239123e-03   2.982635e-03   2.92e-01  
262      1.934779e-03   -2.885372e-04  2.223316e-03   1.15e+00  
263      -1.674341e-02  -1.524336e-02  1.500047e-03   8.96e-02  
264      -4.778391e-02  -4.781123e-02  2.731291e-05   5.72e-04  
265      -9.359641e-02  -9.029441e-02  3.302007e-03   3.53e-02  
266      -1.573169e-01  -1.582332e-01  9.163496e-04   5.82e-03  
267      -2.430088e-01  -2.405418e-01  2.466984e-03   1.02e-02  
268      -3.557047e-01  -3.563396e-01  6.348410e-04   1.78e-03  
269      -5.012114e-01  -5.005138e-01  6.975854e-04   1.39e-03  
270      -6.855922e-01  -6.849980e-01  5.942532e-04   8.67e-04  
271      -9.142450e-01  -9.099585e-01  4.286439e-03   4.69e-03  
272      -1.190536e+00  -1.193038e+00  2.502053e-03   2.10e-03  
273      -1.514061e+00  -1.515810e+00  1.749071e-03   1.16e-03  
274      -1.878757e+00  -1.879573e+00  8.157035e-04   4.34e-04  
275      -2.271279e+00  -2.273497e+00  2.218142e-03   9.77e-04  
276      -2.670108e+00  -2.671355e+00  1.246905e-03   4.67e-04  
277      -3.045880e+00  -3.045811e+00  6.942650e-05   2.28e-05  
278      -3.363129e+00  -3.363170e+00  4.076238e-05   1.21e-05  
279      -3.583411e+00  -3.585378e+00  1.967327e-03   5.49e-04  
280      -3.669443e+00  -3.672463e+00  3.019348e-03   8.23e-04  
281      -3.589863e+00  -3.588000e+00  1.862483e-03   5.19e-04  
282      -3.324288e+00  -3.323580e+00  7.073741e-04   2.13e-04  
283      -2.868571e+00  -2.866213e+00  2.357584e-03   8.22e-04  
284      -2.240010e+00  -2.241722e+00  1.711614e-03   7.64e-04  
285      -1.481479e+00  -1.481969e+00  4.902666e-04   3.31e-04  
286      -6.621357e-01  -6.628211e-01  6.854294e-04   1.04e-03  
287      1.282883e-01   1.276803e-01   6.080194e-04   4.74e-03  
288      7.932907e-01   7.923463e-01   9.444112e-04   1.19e-03  
289      1.249483e+00   1.251773e+00   2.289599e-03   1.83e-03  
290      1.446683e+00   1.448890e+00   2.206137e-03   1.52e-03  
291      1.380890e+00   1.380658e+00   2.324398e-04   1.68e-04  
292      1.095266e+00   1.095103e+00   1.626584e-04   1.49e-04  
293      6.695940e-01   6.687872e-01   8.068036e-04   1.20e-03  
294      2.041298e-01   2.023926e-01   1.737227e-03   8.51e-03  
295      -1.938351e-01  -1.913536e-01  2.481477e-03   1.28e-02  
296      -4.140981e-01  -4.131075e-01  9.905691e-04   2.39e-03  
297      -3.360203e-01  -3.165756e-01  1.944476e-02   5.79e-02  
298      1.888471e-01   4.663887e-01   2.775416e-01   1.47e+00  
299      5.421139e-01   7.913204e-01   2.492066e-01   4.60e-01  
300      1.014959e+00   1.002326e+00   1.263304e-02   1.24e-02  
301      -3.835499e-02  -2.949218e-02  8.862808e-03   2.31e-01  
