Element  Analyticvalue  Numericvalue   Abs.err        Rel.err
165      -5.581850e-02  -7.103677e-02  1.521826e-02   2.73e-01  
166      5.821884e-02   3.896048e-02   1.925836e-02   3.31e-01  
167      1.165141e-01   8.329312e-02   3.322099e-02   2.85e-01  
168      7.750810e-02   2.920228e-02   4.830582e-02   6.23e-01  
169      -1.107577e-01  -1.996432e-01  8.888549e-02   8.03e-01  
170      -5.098246e-01  -6.505034e-01  1.406787e-01   2.76e-01  
171      -1.188357e+00  -1.401050e+00  2.126933e-01   1.79e-01  
172      -2.217621e+00  -2.519584e+00  3.019622e-01   1.36e-01  
173      -3.664802e+00  -4.087248e+00  4.224463e-01   1.15e-01  
174      -5.584520e+00  -6.151080e+00  5.665606e-01   1.01e-01  
175      -8.009503e+00  -8.742253e+00  7.327502e-01   9.15e-02  
176      -1.094178e+01  -1.186687e+01  9.250907e-01   8.45e-02  
177      -1.434597e+01  -1.548023e+01  1.134258e+00   7.91e-02  
178      -1.814600e+01  -1.951102e+01  1.365022e+00   7.52e-02  
179      -2.222608e+01  -2.382471e+01  1.598632e+00   7.19e-02  
180      -2.643608e+01  -2.826313e+01  1.827049e+00   6.91e-02  
181      -3.060062e+01  -3.265171e+01  2.051089e+00   6.70e-02  
182      -3.453087e+01  -3.678654e+01  2.255674e+00   6.53e-02  
183      -3.803778e+01  -4.046649e+01  2.428714e+00   6.39e-02  
184      -4.094569e+01  -4.351351e+01  2.567815e+00   6.27e-02  
185      -4.310537e+01  -4.575512e+01  2.649756e+00   6.15e-02  
186      -4.440583e+01  -4.709344e+01  2.687612e+00   6.05e-02  
187      -4.478414e+01  -4.744017e+01  2.656027e+00   5.93e-02  
188      -4.423193e+01  -4.679680e+01  2.564866e+00   5.80e-02  
189      -4.279701e+01  -4.520896e+01  2.411944e+00   5.64e-02  
190      -4.057873e+01  -4.278724e+01  2.208514e+00   5.44e-02  
191      -3.771633e+01  -3.967340e+01  1.957065e+00   5.19e-02  
192      -3.437193e+01  -3.604857e+01  1.676637e+00   4.88e-02  
193      -3.071192e+01  -3.209601e+01  1.384085e+00   4.51e-02  
194      -2.689367e+01  -2.798488e+01  1.091208e+00   4.06e-02  
195      -2.306604e+01  -2.388469e+01  8.186458e-01   3.55e-02  
196      -1.939341e+01  -1.997811e+01  5.846987e-01   3.01e-02  
197      -1.611146e+01  -1.687898e+01  7.675210e-01   4.76e-02  
198      -1.361977e+01  -1.547801e+01  1.858242e+00   1.36e-01  
199      -1.218326e+01  -1.216947e+01  1.379663e-02   1.13e-03  
200      -1.121797e+01  -9.035184e+00  2.182787e+00   1.95e-01  
201      -4.065699e-01  -3.199873e-01  8.658258e-02   2.13e-01  
202      -4.431692e-01  -4.317217e-01  1.144756e-02   2.58e-02  
203      -4.820618e-01  -5.375775e-01  5.551576e-02   1.15e-01  
204      -5.436661e-01  -5.600841e-01  1.641798e-02   3.02e-02  
205      -5.945138e-01  -5.924296e-01  2.084144e-03   3.51e-03  
206      -6.298115e-01  -6.297489e-01  6.258022e-05   9.94e-05  
207      -6.463934e-01  -6.469595e-01  5.661519e-04   8.76e-04  
208      -6.418853e-01  -6.417370e-01  1.483828e-04   2.31e-04  
209      -6.141680e-01  -6.117807e-01  2.387270e-03   3.89e-03  
210      -5.611212e-01  -5.584939e-01  2.627285e-03   4.68e-03  
211      -4.806796e-01  -4.791432e-01  1.536464e-03   3.20e-03  
212      -3.711592e-01  -3.717410e-01  5.817275e-04   1.57e-03  
213      -2.318391e-01  -2.354179e-01  3.578840e-03   1.54e-02  
214      -6.382280e-02  -6.275468e-02  1.068117e-03   1.67e-02  
215      1.287755e-01   1.276867e-01   1.088811e-03   8.46e-03  
216      3.372833e-01   3.380478e-01   7.645610e-04   2.27e-03  
217      5.465918e-01   5.465795e-01   1.232324e-05   2.25e-05  
218      7.331173e-01   7.327947e-01   3.226746e-04   4.40e-04  
219      8.629615e-01   8.653301e-01   2.368585e-03   2.74e-03  
220      8.908370e-01   8.914212e-01   5.842724e-04   6.56e-04  
221      7.604594e-01   7.623967e-01   1.937222e-03   2.55e-03  
222      4.070849e-01   4.087883e-01   1.703413e-03   4.18e-03  
223      -2.373948e-01  -2.372462e-01  1.485526e-04   6.26e-04  
224      -1.236898e+00  -1.235618e+00  1.280800e-03   1.04e-03  
225      -2.641922e+00  -2.644899e+00  2.977012e-03   1.13e-03  
226      -4.480037e+00  -4.479097e+00  9.403887e-04   2.10e-04  
227      -6.747916e+00  -6.748036e+00  1.203068e-04   1.78e-05  
228      -9.406582e+00  -9.405013e+00  1.568528e-03   1.67e-04  
229      -1.238106e+01  -1.238027e+01  7.842029e-04   6.33e-05  
230      -1.556473e+01  -1.556766e+01  2.923814e-03   1.88e-04  
231      -1.882779e+01  -1.883102e+01  3.233831e-03   1.72e-04  
232      -2.202844e+01  -2.203109e+01  2.653400e-03   1.20e-04  
233      -2.502520e+01  -2.502534e+01  1.403857e-04   5.61e-06  
234      -2.768862e+01  -2.768662e+01  1.999209e-03   7.22e-05  
235      -2.991110e+01  -2.991286e+01  1.757181e-03   5.87e-05  
236      -3.161369e+01  -3.161419e+01  5.021464e-04   1.59e-05  
237      -3.274948e+01  -3.275274e+01  3.255766e-03   9.94e-05  
238      -3.330314e+01  -3.330245e+01  6.906083e-04   2.07e-05  
239      -3.328703e+01  -3.328699e+01  4.776512e-05   1.43e-06  
240      -3.273454e+01  -3.273215e+01  2.388665e-03   7.30e-05  
241      -3.169178e+01  -3.168788e+01  3.904129e-03   1.23e-04  
242      -3.021026e+01  -3.020827e+01  1.987985e-03   6.58e-05  
243      -2.834391e+01  -2.834628e+01  2.370783e-03   8.36e-05  
244      -2.615626e+01  -2.615464e+01  1.623540e-03   6.21e-05  
245      -2.374415e+01  -2.374473e+01  5.733078e-04   2.41e-05  
246      -2.128421e+01  -2.128655e+01  2.332013e-03   1.10e-04  
247      -1.910463e+01  -1.966428e+01  5.596537e-01   2.93e-02  
248      -1.778073e+01  -2.034477e+01  2.564040e+00   1.44e-01  
249      -1.700788e+01  -1.717988e+01  1.720015e-01   1.01e-02  
250      -1.668477e+01  -1.356831e+01  3.116458e+00   1.87e-01  
251      -2.876224e-01  -2.251652e-01  6.245720e-02   2.17e-01  
252      -3.251133e-01  -3.164446e-01  8.668760e-03   2.67e-02  
253      -3.657784e-01  -4.022731e-01  3.649475e-02   9.98e-02  
254      -4.300670e-01  -4.389287e-01  8.861697e-03   2.06e-02  
255      -4.848232e-01  -4.849662e-01  1.430201e-04   2.95e-04  
256      -5.234465e-01  -5.252318e-01  1.785283e-03   3.41e-03  
257      -5.419900e-01  -5.418485e-01  1.414284e-04   2.61e-04  
258      -5.380469e-01  -5.401425e-01  2.095624e-03   3.89e-03  
259      -5.099315e-01  -5.123657e-01  2.434156e-03   4.77e-03  
260      -4.560936e-01  -4.565038e-01  4.102424e-04   8.99e-04  
261      -3.747084e-01  -3.741736e-01  5.347963e-04   1.43e-03  
262      -2.634098e-01  -2.631939e-01  2.159367e-04   8.20e-04  
263      -1.192067e-01  -1.196981e-01  4.914506e-04   4.12e-03  
264      6.129379e-02   6.398841e-02   2.694623e-03   4.40e-02  
265      2.811908e-01   2.806078e-01   5.830033e-04   2.07e-03  
266      5.419809e-01   5.420395e-01   5.865127e-05   1.08e-04  
267      8.415883e-01   8.371367e-01   4.451606e-03   5.29e-03  
268      1.171842e+00   1.171801e+00   4.095339e-05   3.49e-05  
269      1.515710e+00   1.514444e+00   1.266355e-03   8.35e-04  
270      1.844821e+00   1.843830e+00   9.912861e-04   5.37e-04  
271      2.118009e+00   2.118865e+00   8.560312e-04   4.04e-04  
272      2.281695e+00   2.281098e+00   5.974037e-04   2.62e-04  
273      2.272801e+00   2.273735e+00   9.348483e-04   4.11e-04  
274      2.024450e+00   2.021648e+00   2.802216e-03   1.38e-03  
275      1.474048e+00   1.473051e+00   9.972126e-04   6.77e-04  
276      5.725251e-01   5.736833e-01   1.158238e-03   2.02e-03  
277      -7.070406e-01  -7.068982e-01  1.424357e-04   2.01e-04  
278      -2.363371e+00  -2.361159e+00  2.212407e-03   9.36e-04  
279      -4.365025e+00  -4.362210e+00  2.815349e-03   6.45e-04  
280      -6.653132e+00  -6.651718e+00  1.413496e-03   2.12e-04  
281      -9.148305e+00  -9.150146e+00  1.841581e-03   2.01e-04  
282      -1.176018e+01  -1.175971e+01  4.692878e-04   3.99e-05  
283      -1.439734e+01  -1.439812e+01  7.820366e-04   5.43e-05  
284      -1.697526e+01  -1.697499e+01  2.732906e-04   1.61e-05  
285      -1.942033e+01  -1.941868e+01  1.656046e-03   8.53e-05  
286      -2.166924e+01  -2.167139e+01  2.151747e-03   9.93e-05  
287      -2.366475e+01  -2.366316e+01  1.593212e-03   6.73e-05  
